# Comparison of web browsers
> Operating system support

| Browser | Windows | OS X | Linux | BSD | Android | iOS | Other Unix |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Amaya | Yes | Yes | Yes | Yes | No | No | Yes |
| AOL Explorer | Yes | No | No | No | No | No | No |
| Arora | Yes | Yes | Yes | Yes | No | No | Yes |
| Avant | Yes | No | No | No | No | No | No |
| Brave | Yes | Yes | Yes | No | Yes | Yes | No |
| Camino | No | Yes | No | No | No | No | No |
| Chromium | Yes | Yes | Yes | Yes | Yes | No | No |
| Dillo | Partial | Yes | Yes [note 1] | Yes | No | No | Yes |
| Dooble | Yes | Yes | Yes | Yes | No | No | Yes |
| ELinks | No | Yes | Yes | Yes | No | No | Yes |
| Flock | Yes | Yes | Yes | Yes | No | No | No |
| Galeon | No | Yes | Yes | Yes | No | No | Yes |
| Google Chrome | Win 7 or higher | Yes [note 2] | Yes | No | Yes | Yes | No |
| iCab | No | Yes | No | No | No | Yes | No |
| GNU IceCat | Vista or higher | Yes | Yes | No | Yes | No | No |
| Internet Explorer | Included | Dropped (5.2) | No | No | No | No | Dropped (5.0) [note 3] |
| K-Meleon | Yes | No | No | No | No | No | No |
| Konqueror | Partial | Yes | Yes | Yes | No | No | Yes |
| Links | Partial | Yes | Yes | Yes | No | No | Yes |
| Lunascape | Yes | No | No | No | Yes | Yes | No |
| Lynx | Yes | Yes | Yes | Yes | No | No | Yes |
| Maxthon | Yes | Yes | Yes | No | Yes | Yes | No |
| Microsoft Edge | Included | No | No | No | No | No | No |
| Midori | Yes | No | Yes | Yes | No | No | Yes |
| Mozilla Firefox | Yes | Yes | Yes [note 4] | Yes | Yes | Yes | Yes |
| NetSurf | Beta | Yes | Yes | Yes | No | No | Yes |
| OmniWeb | No | Yes | No | No | No | No | No |
| Opera | Yes | Yes | Yes | Yes | Yes | Yes [note 5] | Yes |
| Pale Moon | Yes | Beta [64] | Yes | No | Yes | No | No |
| Polarity | Yes | No | No | No | Yes [65] | No | No |
| QupZilla | Yes | Yes | Yes | Yes | No | No | Yes |
| Rekonq | Yes | Yes | Yes | Yes | No | No | Yes |
| Safari | Dropped (5.1.7) | Included | No | No | No | Included | No |
| Safe Browser Secure | No | No | No | No | No | Yes | No |
| SeaMonkey | Yes | Yes | Yes | Yes | No | No | Yes |
| Shiira | No | Yes | No | No | No | No | No |
| Sleipnir | Yes | Yes | No | No | Yes | Yes | No |
| SRWare Iron | Yes | Yes | Yes | Yes | No | No | Yes |
| surf | Partial | ? | Yes | Yes | No | No | Yes |
| Torch Browser | Yes | Yes | No | No | No | No | No |
| Web | No | Yes | Yes | Yes | No | No | Yes |
| WorldWideWeb ( NeXTSTEP only) | No | No | No | No | No | No | No |
| w3m | Yes | Yes | Yes | Yes | No | No | Yes |
| Browser | Windows | OS X | Linux | BSD | Android | iOS | Other Unix |
