# Wars of In - Laws II
> Cast

| Cast | Role | Description |
| --- | --- | --- |
| Liza Wang | Gwo Bik (Ophelia or Oh Jie or Sis O) 戈碧 | Yoyo Chen ( 陳自瑤 )as the young (cameo) Elva Magazine Chief Editor Kyle's mother Pat Ping-Fan's enemy Fiona |
| Bosco Wong | Gwo Dak (Kyle) 戈德 | ex- Elva Magazine Advertising Director HK Stock Exchange Group employee Ophelia's son Chow Lai-Man's husband. |
| Myolie Wu | Chow Lai-Man (Ah Mun) 周麗敏 | Ex-Police WPC66350 Elva Magazine ex-Chief Editor's Second Assistant "Elva Magazine" Chief Editor (Short period) Kyle's wife Ophelia's Daughter in law. |
| Benz Hui | Pat Ping-Fan 畢平凡 | Ex-Convict (jailed for 27 years) Goh Bik's enemy later Gwo Bik friend. |
| Joyce Tang | Ko Ka-Bo (CoCo) 高家寶 | Elva Magazine Chief Editor's First Assistant Loves CC, later CC's wife Gwo Bik took care of her when she was young |
| Derek Kok | Wong Chung-Cheung (CC Wong) 王仲祥 | Elva Magazine Art Director First Coco's enemy but later husband. Has twin daughters from a previous marriage. |
| Nancy Wu | Li Dak-Jin (Iris) 李德瑾 | Elva Magazine Beauty/Fashion Editor Ching Chi-Sheung's girlfriend. |
| Stephen Huynh | Ching Chi-Sheung (Ryan) 程志尚 | Elva Magazine Photographer Li Dak-Jin's boyfriend. |
| Patrick Tang ( 鄧健泓 ) | Lau Ching-Shan 劉青山 | Elva Magazine Clerk |
| Vivien Yeo | Sung Chi-Kiu (Athena) 宋芷喬 | Manager Goh Dak's ex-girlfriend, still loves Goh Dak Later Mark's financial adviser |
| Vincent Wong ( 王浩信 ) | Mark | ex- Elva Green Magazine Chief Editor Corporation's ower's son. |
| Michael Miu | Himself | Cameo |
