# Canada Post Domestic Shipping Prices (Common Services & Flat Rate Boxes)

| Service / Option | Price (CAD) | What you pay for |
| --- | ---: | --- |
| Lettermail (standard letter) | $1.07 | Single domestic stamp |
| Lettermail (oversize or non-standard) | $1.94 | Single-piece oversize letter |
| Registered Mail (add-on) | $9.75 | Add-on fee (in addition to postage) |
| Xpresspost – Regional (starts at) | $16.99 | Faster domestic shipping (typical starting price) |
| Xpresspost – National (starts at) | $19.99 | Faster domestic shipping (typical starting price) |
| Expedited Parcel (starts at) | $12.99 | Tracked parcel service (typical starting price) |
| Regular Parcel (starts at) | $11.99 | Economy parcel service (typical starting price) |
| Flat Rate Box – Small | $19.99 | Prepaid domestic flat rate box |
| Flat Rate Box – Medium | $24.99 | Prepaid domestic flat rate box |
| Flat Rate Box – Large | $29.99 | Prepaid domestic flat rate box |
