# Metropolitan Statistical Areas with County Breakdown (State Implied via County Names)

| MSA | Core Counties | Population (2010) | Footnote |
| --- | --- | --- | --- |
| Atlanta–Sandy Springs–Roswell | Fulton; DeKalb; Cobb; Gwinnett | 5,286,728 | Counties listed without state |
| Charlotte–Concord–Gastonia | Mecklenburg; Cabarrus; York | 2,217,012 | Multi-state possible |
| Chicago–Naperville–Elgin | Cook; DuPage; Lake; Will | 9,461,105 | Counties only |
| New York–Newark–Jersey City | New York; Kings; Queens; Hudson | 19,567,410 | Counties only |
| Philadelphia–Camden–Wilmington | Philadelphia; Camden; New Castle | 5,965,343 | Counties only |
| St. Louis | St. Louis; St. Charles; Madison | 2,787,701 | Counties only |
| Kansas City | Jackson; Clay; Johnson; Wyandotte | 2,035,334 | Counties only |
| Providence–Warwick | Providence; Bristol; Kent | 1,600,000+ | Counties only |
| Augusta | Richmond; Columbia; Aiken | 590,000+ | Counties only |
