# 2016 NFL Draft Running Back Prospect Rankings (RB-Only Board)

| RB Rank | Player | Position | College |
|---:|---|---|---|
| 1 | Ezekiel Elliott | RB | Ohio State |
| 2 | Derrick Henry | RB | Alabama |
| 3 | Kenneth Dixon | RB | Louisiana Tech |
| 4 | Paul Perkins | RB | UCLA |
| 5 | Devontae Booker | RB | Utah |
| 6 | C.J. Prosise | RB | Notre Dame |
| 7 | Jordan Howard | RB | Indiana |
| 8 | Jonathan Williams | RB | Arkansas |
| 9 | Tyler Ervin | RB | San Jose State |
| 10 | Wendell Smallwood | RB | West Virginia |
