# Medication Label Abbreviations  Route, Administration Cues, and Formulation Notes

| Category | Abbreviation | Meaning on medication label | How it affects administration |
| --- | --- | --- | --- |
| Route | PO | by mouth (oral) | swallow/take orally |
| Route | SL | sublingual | place under the tongue; do not swallow whole |
| Route | buccal | buccal (in cheek) | place between gum and cheek |
| Route | TOP | topical | apply to skin surface only |
| Route | INH | inhalation | inhale via device (MDI, DPI, nebulizer as directed) |
| Route | PR | per rectum | administer rectally (suppository/enema as ordered) |
| Route | PV | per vagina | administer vaginally (tablet/cream/ring) |
| Route | IM | intramuscular | injection into muscle (clinical administration) |
| Route | IV | intravenous | inject/infuse into vein (clinical administration) |
| Administration cue | NPO | nothing by mouth | do not take anything orally (may require alternative route) |
| Administration cue | dilute | dilute before use | mix with specified diluent before administration |
| Administration cue | shake well | shake before use | resuspend medication (common for suspensions) |
| Formulation | IR | immediate release | acts quickly; usually more frequent dosing than ER |
| Formulation | SR | sustained release | release over time; do not crush/chew unless directed |
| Formulation | DR | delayed release (enteric-coated) | swallow whole; do not crush; timing may matter with food |
| Formulation | CR | controlled release | prolonged release; avoid crushing/chewing |
| Formulation | ODT | orally disintegrating tablet | let dissolve on tongue; may not need water |
| Formulation | susp | suspension | liquid with particles; often requires shaking and accurate measuring |
