# Bottled Water Brands and pH Values (Brand-to-pH Comparison)

| Brand / Product | Water Type | Source / Processing Notes | pH |
|---|---|---|---|
| Aquafina | Purified | Municipal source, multi-step purification | 5.6 |
| Dasani | Purified | Reverse osmosis with added minerals for taste | 5.2 |
| Deer Park | Spring | Natural spring water | 6.3 |
| Crystal Geyser Alpine Spring Water | Spring | Bottled at the source; natural spring | 6.5 |
| Arrowhead Mountain Spring Water | Spring | Mountain spring source | 7.1 |
| Evian | Spring | Natural spring water | 7.0 |
| Fiji | Artesian | Artesian aquifer; naturally filtered | 7.2 |
| Smartwater | Vapor-distilled | Distilled then electrolytes added | 7.0 |
| Essentia | Ionized / Alkaline | Purified; ionized with added electrolytes | 9.0 |
| Perrier | Sparkling mineral | Naturally carbonated mineral water | 5.5 |
| S. Pellegrino | Sparkling mineral | Mineral water with carbonation added | 5.6 |
