# UFC Championship Reigns — Multiple Reigns by the Same Champion (with Duration)

| Champion | Weight class | Reign # | Won title (event/date) | Lost title (event/date) | Length (days) | Title defenses |
|---|---|---:|---|---|---:|---:|
| Georges St-Pierre | Welterweight | 1 | UFC 65 / 2006-11-18 | UFC 69 / 2007-04-07 | 140 | 0 |
| Georges St-Pierre | Welterweight | 2 | UFC 83 / 2008-04-19 | UFC 167 / 2013-11-16 | 2,037 | 9 |
| Matt Hughes | Welterweight | 1 | UFC 34 / 2001-11-02 | UFC 36 / 2002-03-22 | 140 | 2 |
| Matt Hughes | Welterweight | 2 | UFC 50 / 2004-10-22 | UFC 79 / 2007-12-29 | 1,163 | 5 |
| Randy Couture | Heavyweight | 1 | UFC 13 / 1997-05-30 | UFC 15 / 1997-10-17 | 140 | 2 |
| Randy Couture | Light Heavyweight | 1 | UFC 36 / 2002-03-22 | UFC 43 / 2003-06-06 | 441 | 2 |
| Frankie Edgar | Lightweight | 1 | UFC 112 / 2010-04-10 | UFC 136 / 2011-10-08 | 546 | 3 |
| BJ Penn | Lightweight | 2 | UFC 80 / 2008-01-19 | UFC 112 / 2010-04-10 | 812 | 3 |
| Anderson Silva | Middleweight | 1 | UFC 64 / 2006-10-14 | UFC 162 / 2013-07-06 | 2,457 | 10 |
