# Upcoming Ex-Dividend Dates (Selected US & Canada Stocks) — One Date per Ticker

| Ticker | Company Name | Exchange | Upcoming Ex-Dividend Date |
|---|---|---|---|
| JNJ | Johnson & Johnson | NYSE | 2026-02-20 |
| KO | The Coca-Cola Company | NYSE | 2026-03-13 |
| PEP | PepsiCo, Inc. | NASDAQ | 2026-03-06 |
| PG | Procter & Gamble Co. | NYSE | 2026-01-16 |
| T | AT&T Inc. | NYSE | 2026-01-09 |
| VZ | Verizon Communications Inc. | NYSE | 2026-01-10 |
| CM | Canadian Imperial Bank of Commerce | NYSE/TSX | 2026-01-27 |
| ENB | Enbridge Inc. | NYSE/TSX | 2026-02-13 |
| O | Realty Income Corp. | NYSE | 2026-02-28 |
