# Handheld Console Emulators — Program-Focused Quick Comparison (GBA DS 3DS PSP)

| Emulator | Target console | Host platform(s) | Latest version | UI/Frontend style | License | Homepage/download |
| --- | --- | --- | --- | --- | --- | --- |
| VisualBoyAdvance-M | Game Boy Advance (also GB/GBC) | Windows, macOS, Linux | 2.1.x | Standalone GUI | GPLv2 | https://vba-m.com/ |
| mGBA | Game Boy Advance (also GB/GBC) | Windows, macOS, Linux, Android | 0.10.x | Standalone GUI | MPL 2.0 | https://mgba.io/downloads.html |
| No$GBA | Game Boy Advance / Nintendo DS | Windows | 3.x | Standalone GUI | Proprietary (freeware for personal use) | https://problemkaputt.de/gba.htm |
| DeSmuME | Nintendo DS | Windows, macOS, Linux | 0.9.13 | Standalone GUI | GPLv2 | https://desmume.org/ |
| melonDS | Nintendo DS | Windows, macOS, Linux, Android | 0.9.x | Standalone GUI | GPLv3 | https://melonds.kuribo64.net/ |
| Citra | Nintendo 3DS | Windows, macOS, Linux, Android | Nightly/Canary (varies) | Standalone GUI | GPLv2 | https://citra-emu.org/download/ |
| Panda3DS | Nintendo 3DS | Windows, Linux | 0.7.x (varies) | Standalone GUI | GPLv3 | https://panda3ds.com/ |
| PPSSPP | PlayStation Portable (PSP) | Windows, macOS, Linux, Android, iOS | 1.17.x | Standalone GUI | GPLv2+ | https://www.ppsspp.org/download/ |
| JPCSP | PlayStation Portable (PSP) | Windows, macOS, Linux (Java) | 0.7.x | Standalone GUI (Java) | GPLv3 | http://jpcsp.org/ |
| Vita3K | PlayStation Vita | Windows, Linux, macOS (status varies) | 0.2.x (varies) | Standalone GUI | GPLv2 | https://vita3k.org/
