# Seasonal Deer Browsing Patterns on Common Landscape Plant Groups

| Season | Plant Group | Typical Browsing Pressure | Notes |
|---|---|---|---|
| Early Spring | Tender perennials | High | New growth is heavily targeted |
| Late Spring | Annuals | Medium | Depends on irrigation and local forage |
| Summer | Shrubs (new tips) | Medium–High | Increased during drought |
| Summer | Ornamental grasses | Low | Usually avoided unless very young |
| Fall | Bulbs (foliage) | Medium | Some species browsed after first rains |
| Winter | Evergreens | High | Scarcity drives browsing on woody plants |
| Winter | Deciduous twigs | Medium | Utilization rises with snow cover |
| Year-round | Fruit/berry shrubs | High | Browsed especially when fruiting |
| Year-round | Aromatic herbs | Low | Often avoided but not guaranteed |
| Year-round | Garden beds near cover | High | Proximity to shelter increases browsing |
| Year-round | Plants in open exposure | Low–Medium | Deer less comfortable in exposed sites |
