# Union Army Command History and Civil War Operations — Selected Field Armies and Major Actions

| Union Formation | Commanding General (selected) | From | To | Civil War Operations / Campaign-Level Actions (examples) |
| --- | --- | --- | --- | --- |
| Army of the Potomac | George B. McClellan | Jul 1861 | Nov 1862 | Peninsula Campaign; Maryland Campaign (Antietam) |
| Army of the Potomac | Ambrose E. Burnside | Nov 1862 | Jan 1863 | Fredericksburg Campaign |
| Army of the Potomac | Joseph Hooker | Jan 1863 | Jun 1863 | Chancellorsville Campaign |
| Army of the Potomac | George G. Meade | Jun 1863 | Jun 1865 | Gettysburg Campaign; Overland Campaign; Petersburg Campaign |
| Army of the Tennessee | Ulysses S. Grant | 1861 | Oct 1863 | Forts Henry & Donelson; Shiloh; Vicksburg Campaign |
| Army of the Tennessee | William T. Sherman | Oct 1863 | 1865 | Meridian Campaign; Atlanta Campaign; March to the Sea (Savannah); Carolinas Campaign |
| Army of the Cumberland | William S. Rosecrans | Oct 1862 | Oct 1863 | Stones River; Tullahoma Campaign; Chickamauga Campaign |
| Army of the Cumberland | George H. Thomas | Oct 1863 | 1865 | Chattanooga Campaign; Franklin–Nashville Campaign |
| Army of the Shenandoah | Philip H. Sheridan | Aug 1864 | 1865 | Shenandoah Valley Campaigns (1864): Third Winchester; Cedar Creek |
