# Snakebite Risk in Arizona — Species, First-Aid Notes, and Look-alikes

| Category | Species / Item | Common Name | Arizona Tie-in | Safety / Notes |
|---|---|---|---|---|
| Venomous | Crotalus scutulatus | Mojave rattlesnake | Sonoran & Mojave deserts | Neurotoxic components; seek medical care |
| Venomous | Crotalus atrox | Western diamondback | Central & southern AZ | Common bite species |
| Venomous | Crotalus cerastes | Sidewinder | Western AZ deserts | Small; distinctive tracks |
| Venomous | Micruroides euryxanthus | Arizona coral snake | Southeast AZ | Rarely encountered |
| Non-venomous (look-alike) | Pituophis catenifer | Gopher snake | Statewide | Often mistaken for rattlesnake |
| Non-venomous (look-alike) | Lampropeltis californiae | California kingsnake | Western AZ | Eats snakes; harmless |
| First-aid (do not) | Tourniquet application | — | Arizona context | Not recommended; can worsen injury |
| First-aid (do) | Immobilize limb | — | Arizona context | Keep patient calm; call 911 |
| Medical | Antivenom (CroFab/Anavip) | — | Arizona hospitals | Used for significant envenomation |
