# Florida ZIP Codes by County (Primary Listing)

| County (Primary) | Major City | ZIP Code | ZIP Type | Common City Names |
| --- | --- | --- | --- | --- |
| Miami-Dade County | Miami | 33101 | Standard | Miami |
| Miami-Dade County | Miami | 33109 | Standard | Miami Beach, Fisher Island |
| Broward County | Fort Lauderdale | 33301 | Standard | Fort Lauderdale |
| Broward County | Hollywood | 33019 | Standard | Hollywood |
| Palm Beach County | West Palm Beach | 33401 | Standard | West Palm Beach |
| Orange County | Orlando | 32801 | Standard | Orlando |
| Hillsborough County | Tampa | 33602 | Standard | Tampa |
| Duval County | Jacksonville | 32202 | Standard | Jacksonville |
| Leon County | Tallahassee | 32301 | Standard | Tallahassee |
| Escambia County | Pensacola | 32501 | Standard | Pensacola |
| Pinellas County | St. Petersburg | 33701 | Standard | St Petersburg |
| Sarasota County | Sarasota | 34236 | Standard | Sarasota |
