# Starbucks Decaf Options  Remaining Caffeine (mg) Across Common Sizes

| Drink family | Beverage | Decaf preparation note | Tall (12 fl oz) | Grande (16 fl oz) | Venti (20 fl oz) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Brewed coffee | Brewed Decaf Coffee | Decaf beans, brewed | 20 mg | 25 mg | 30 mg | Residual caffeine varies by batch |
| Espresso-based | Caffè Americano | Decaf espresso shots | 10 mg | 15 mg | 20 mg | More water does not add caffeine |
| Espresso-based | Flat White | Decaf ristretto shots | 10 mg | 15 mg | 20 mg | Milk-based espresso drink |
| Espresso-based | Caramel Macchiato | Decaf espresso shots | 10 mg | 15 mg | 20 mg | Flavored latte-style |
| Espresso-based | White Chocolate Mocha | Decaf espresso shots | 10 mg | 15 mg | 20 mg | Chocolate flavor adds negligible caffeine |
| Frappuccino | Coffee Frappuccino | Decaf espresso (no Frappuccino roast) | 10 mg | 15 mg | 20 mg | Specify decaf espresso substitution |
| Frappuccino | Mocha Frappuccino | Decaf espresso | 15 mg | 20 mg | 25 mg | Cocoa may contribute small additional caffeine |
| Hot chocolate | Hot Chocolate | No coffee/espresso | 0 mg | 0 mg | 0 mg | Included as a zero-caffeine reference |
| Tea (espresso-free) | Herbal Tea (e.g., Mint) | No tea leaves | 0 mg | 0 mg | 0 mg | Caffeine-free when unsweetened |
