# Surface Pro weights by model and included configuration notes (carry weight focus)

| Surface Pro generation | Config label (as sold) | Tablet weight (g) | Tablet weight (lb) | Configuration detail used to separate variants |
|---|---|---:|---:|---|
| Surface Pro 2 | 64GB / 128GB | 907 | 2.00 | Same weight across storage options |
| Surface Pro 3 | All mainstream CPU trims | 800 | 1.76 | Weight commonly listed as one value for the model |
| Surface Pro 4 | Core m3 | 766 | 1.69 | CPU tier explicitly changes the listed weight |
| Surface Pro 4 | Core i5 / i7 | 786 | 1.73 | Heavier CPU tiers grouped with same weight |
| Surface Pro (5th Gen, 2017) | Core m3 | 770 | 1.70 | Fanless entry tier |
| Surface Pro (5th Gen, 2017) | Core i5 / i7 | 784 | 1.73 | Same weight across i5 and i7 |
| Surface Pro 6 | All configurations | 784 | 1.73 | Model-level weight for carry comparisons |
| Surface Pro 7 | All configurations | 775 | 1.71 | Model-level weight |
| Surface Pro 7+ | Wi‑Fi | 796 | 1.75 | Variant split by connectivity |
| Surface Pro 7+ | LTE Advanced | 812 | 1.79 | LTE variant explicitly heavier |
| Surface Pro 8 | Wi‑Fi / LTE | 891 | 1.96 | Same listed weight for both connectivity variants |
| Surface Pro 9 | Intel (Wi‑Fi) | 879 | 1.94 | Variant split by platform and cellular |
| Surface Pro 9 | Intel (5G) | 883 | 1.95 | 5G-specific weight |
| Surface Pro 9 | SQ3 (5G) | 878 | 1.94 | Arm-based 5G weight listed separately |
| Surface Pro 11th Edition | Snapdragon X (Plus/Elite) | 895 | 1.97 | Same weight across these SoC tiers |
