# IEEE 802.11a n ac 5 GHz WLAN Channel Plan (UNII Bands)

| UNII sub-band | Channel | Center Frequency (MHz) | Frequency Range (MHz) | Nominal Width (MHz) |
| --- | --- | --- | --- | --- |
| UNII-1 | 36 | 5180 | 5170–5190 | 20 |
| UNII-1 | 40 | 5200 | 5190–5210 | 20 |
| UNII-1 | 44 | 5220 | 5210–5230 | 20 |
| UNII-1 | 48 | 5240 | 5230–5250 | 20 |
| UNII-2A | 52 | 5260 | 5250–5270 | 20 |
| UNII-2A | 56 | 5280 | 5270–5290 | 20 |
| UNII-2A | 60 | 5300 | 5290–5310 | 20 |
| UNII-2A | 64 | 5320 | 5310–5330 | 20 |
| UNII-2C/Extended | 100 | 5500 | 5490–5510 | 20 |
| UNII-2C/Extended | 104 | 5520 | 5510–5530 | 20 |
| UNII-2C/Extended | 108 | 5540 | 5530–5550 | 20 |
| UNII-2C/Extended | 112 | 5560 | 5550–5570 | 20 |
