# Combined State and Federal Capital Gains Tax Burden (Selected Jurisdictions)

| Rank | Jurisdiction | Total Capital Gains Rate (Top) | Includes Federal? | Notes |
| --- | --- | --- | --- | --- |
| 1 | California | 37.10% | Yes | State + federal combined estimate |
| 2 | New York | 34.00% | Yes | Includes NYC surcharge assumption |
| 3 | Hawaii | 33.00% | Yes | High state rate included |
| 4 | Minnesota | 32.50% | Yes | Combined top burden |
| 5 | Ontario (Canada) | 29.65% | Yes | Non-U.S. jurisdiction included |
| 6 | Texas | 23.80% | Yes | No state income tax, federal only |
| 7 | Florida | 23.80% | Yes | No state income tax, federal only |
| 8 | United Kingdom | 20.00% | No | Country-level rate shown |
| 9 | Washington | 7.00% | No | State excise-style capital gains tax (simplified) |
| 10 | Singapore | 0.00% | No | No capital gains tax |
| 11 | Nevada | 23.80% | Yes | Federal only assumption |
| 12 | Massachusetts | 28.80% | Yes | Combined burden estimate |
