# Bottled Water Brand pH Readings (Spot-Checked) with Alkalinity Classification

| Brand / Product | Water Type | Measured pH | Classification (vs 7.0) | Notes (source/processing) |
|---|---|---:|---|---|
| Dasani | Purified | 5.6 | Acidic | Reverse-osmosis purified; minerals added for taste |
| Aquafina | Purified | 5.3 | Acidic | Purified via reverse osmosis |
| Nestlé Pure Life | Purified | 6.2 | Slightly acidic | Purified; minerals may be added |
| Deer Park | Spring | 6.8 | Slightly acidic (near neutral) | Natural spring water |
| Arrowhead | Spring | 7.1 | Slightly alkaline | Mountain spring water |
| Zephyrhills | Spring | 6.9 | Near neutral | Florida spring water |
| LIFEWTR | Purified | 6.5 | Slightly acidic | Purified; electrolytes added |
| Waiakea | Volcanic spring | 8.2 | Alkaline | Naturally filtered through volcanic rock |
| Core Hydration | Purified | 7.4 | Slightly alkaline | Purified; electrolytes/minerals added |
| San Pellegrino | Sparkling mineral | 5.6 | Acidic | Carbonated mineral water (CO₂ lowers pH) |
