# Fast-Food & Cafe Items Calories (Per Item Standard Portion)

| Food or Dish | Restaurant/Category | Serving | Calories (kcal) | Protein (g) | Carbs (g) | Fat (g) |
| --- | --- | --- | ---: | ---: | ---: | ---: |
| Turkey 6-inch sandwich (with veggies, no extra sauce) | Sub/Sandwich | 1 sandwich | 280 | 18 | 46 | 3.5 |
| Tuna salad 6-inch sandwich | Sub/Sandwich | 1 sandwich | 480 | 20 | 44 | 24 |
| Chipotle-style ranch sauce | Condiment | 1.5 tbsp | 110 | 0 | 1 | 11 |
| Sweet onion sauce | Condiment | 1.5 tbsp | 45 | 0 | 11 | 0 |
| Iced latte (2% milk, no syrup) | Coffee/Drink | 16 fl oz | 190 | 12 | 19 | 7 |
| Mocha (with whipped cream) | Coffee/Drink | 16 fl oz | 410 | 10 | 58 | 16 |
| Glazed donut hole | Bakery | 1 piece | 75 | 1 | 10 | 3.5 |
| Cheeseburger (single patty) | Burger | 1 burger | 300 | 15 | 33 | 13 |
| French fries (medium) | Sides | 1 order | 320 | 4 | 43 | 15 |
| Chicken nuggets | Sides | 6 pieces | 260 | 14 | 16 | 16 |
