# U.S. Senate Party Control by Congress (Early Congresses, 1st–12th)

| Congress | Years | Senate control (party) | Control type | Context |
|---|---|---|---|---|
| 1st | 1789–1791 | Pro-Administration | Majority | Early federal coalition supporting Washington |
| 2nd | 1791–1793 | Pro-Administration | Majority | Continuation of early governing coalition |
| 3rd | 1793–1795 | Pro-Administration | Majority | Opposition begins to coalesce |
| 4th | 1795–1797 | Pro-Administration | Majority | Federalist-aligned majority |
| 5th | 1797–1799 | Federalist | Majority | Party labels more explicit by late 1790s |
| 6th | 1799–1801 | Federalist | Majority | Federalists maintain control before 1800 shift |
| 7th | 1801–1803 | Democratic-Republican | Majority | After 1800 election realignment |
| 8th | 1803–1805 | Democratic-Republican | Majority | Jefferson-era dominance |
| 9th | 1805–1807 | Democratic-Republican | Majority | Continued majority |
| 10th | 1807–1809 | Democratic-Republican | Majority | Continued majority |
| 11th | 1809–1811 | Democratic-Republican | Majority | Madison era begins |
| 12th | 1811–1813 | Democratic-Republican | Majority | Lead-up to War of 1812 period |
