# Amaranth grain
> Nutritional analysis

| Synopsis [4] ~ composition: | Amaranth grain, cooked [17] | Cereals , whole wheat, cooked [18] |
| --- | --- | --- |
| Component (per 100g portion) | Amount | Amount |
| water (g) | 75 | 83 |
| energy (kJ) | 429 | 259 |
| protein (g) | 4 | 2 |
| fat (g) | 2 | 0.4 |
| carbohydrates (g) | 19 | 14 |
| fiber (g) | 2 | 2 |
| sugars (g) | n/a | n/a |
| iron (mg) | 2.1 | 0.6 |
| manganese (mg) | 0.85 | 0.85 |
| calcium (mg) | 47 | 7 |
| magnesium (mg) | 65 | 22 |
| phosphorus (mg) | 148 | 69 |
| potassium (mg) | 135 | 71 |
| zinc (mg) | 0.9 | 0.5 |
| pantothenic acid (mg) | <0.1 | n/a |
| vitB6 (mg) | 0.11 | 0.07 |
| folate (µg) | 22 | 14 |
| thiamin (mg) | <0.1 | 0.07 |
| riboflavin (mg) | 0.02 | 0.05 |
| niacin (mg) | 0.24 | 0.8 |
