# Sports teams in Florida
> Minor league and semi-pro teams

| Club | Sport | League | Venue | Championships (Years) |
| --- | --- | --- | --- | --- |
| Pensacola Blue Wahoos | Baseball | MiLB , Southern League (AA) | Pensacola Bayfront Stadium | 0 |
| Orlando Pride | Soccer | NWSL | Camping World Stadium ( Orlando City Stadium in 2017) | -- |
| Jacksonville Suns | Baseball | MiLB , Southern League (AA) | Baseball Grounds of Jacksonville | 6 (1968, 1996, 2001, 2005, 2009, 2010) |
| Bradenton Marauders | Baseball | MiLB , Florida State League (A) | McKechnie Field | 0 |
| Brevard County Manatees | Baseball | MiLB , Florida State League (A) | Space Coast Stadium | 1 (2000) |
| Clearwater Threshers | Baseball | MiLB, Florida State League | Bright House Networks Field | 1 (2007) |
| Daytona Cubs | Baseball | MiLB, Florida State League | Jackie Robinson Ballpark | 3 (1995, 2004, 2008) |
| Dunedin Blue Jays | Baseball | MiLB, Florida State League | Knology Park | 0 |
| Fort Myers Miracle | Baseball | MiLB, Florida State League | Hammond Stadium | 5 (1969, 1970, 1971, 1972, 1978) |
| Jupiter Hammerheads | Baseball | MiLB, Florida State League | Roger Dean Stadium | 0 |
| Lakeland Flying Tigers | Baseball | MiLB, Florida State League | Joker Marchant Stadium | 3 (1976, 1977, 1992) |
| Palm Beach Cardinals | Baseball | MiLB, Florida State League | Roger Dean Stadium | 1 (2005) |
| Sarasota Reds | Baseball | MiLB, Florida State League | Ed Smith Stadium | 0 |
| St. Lucie Mets | Baseball | MiLB, Florida State League | Tradition Field | 5 (1988, 1996, 1998, 2003, 2006) |
| Tampa Yankees | Baseball | MiLB, Florida State League | Legends Field | 5 (1994, 2001, 2004, 2009, 2010) |
| Charlotte Stone Crabs | Baseball | MiLB, Florida State League | Charlotte Sports Park | 2 (1983, 1990) |
| Heartland Prowl | Basketball | Continental Basketball League | South Florida Community College | 0 |
| Gainesville Galaxy | Basketball | Continental Basketball League | MLK, Jr. Recreation Center | 0 |
| Florida Flight | Basketball | Continental Basketball League | Avalon Middle School | 0 |
| Miami Stars | Basketball | Continental Basketball League | St. Thomas University | 0 |
| Tampa Bay Saints | Basketball | Continental Basketball League | Mary Help of Christians Center | 0 |
| Palm Beach Titans | Basketball | Continental Basketball League | Student Life Center | 0 |
| Jacksonville Giants | Basketball | American Basketball Association | Memorial Arena | 2 (2012, 2013) |
| Orlando Kings | Basketball | American Basketball Association | Downtown Recreation Center | 0 |
| Panama City Dream | Basketball | American Basketball Association | TBA | 0 |
| Florida Launch | Lacrosse | MLL | FAU Stadium | 0 |
| Orlando Griffins | Rugby Union | USA Rugby | Lorna Doone Park | 2015 State Champions - 2015 Round of 16 Nationals |
| Central Florida Warriors | Rugby League | USA Rugby League | Spec Martin Stadium | 0 |
| Jacksonville Axemen | Rugby League | USA Rugby League | Hodges Stadium | 2 (2010, 2012) |
| Tampa Mayhem | Rugby League | USA Rugby League | Tampa Catholic High School | 0 |
| Fort Lauderdale Strikers | Soccer | North American Soccer League | Lockhart Stadium | 0 |
| Jacksonville Armada | Soccer | North American Soccer League | Baseball Grounds | 0 |
| Miami FC | Soccer | North American Soccer League | FIU Stadium | 0 |
| Tampa Bay Rowdies | Soccer | North American Soccer League | Progress Energy Park | 2 (1975, 2012) |
| Florida Everblades | Ice hockey | ECHL | Germain Arena | 1 (2012) |
| Orlando Solar Bears | Ice hockey | ECHL | Amway Center | 0 |
| Pensacola Ice Flyers | Ice hockey | SPHL | Pensacola Civic Center | 3 (2013, 2014, 2016) |
| Jacksonville Sharks | Arena football |  | Memorial Arena | 1 ( 2011 ) |
| Tampa Bay Storm | Arena football | AFL | Tampa Bay Times Forum | 5 ( 1991 , 1993 , 1995 , 1996 , 2003 ) |
| Florida Tarpons | Indoor football | Arena Developmental League | Germain Arena | 1 (2013) |
| Boca Raton FC | Soccer | American Premier Soccer League | Lynn University | 2015 APSL Champion - 2015 APSL Open Champion |
| South Florida Spartans | Basketball | CBDL | Goldenrod Orlando Magic Center | 3 |
