# List of Ongoing Armed Conflicts (with occasional Chinese involvement noted)

| Start | Conflict | Area | Note on external involvement |
| --- | --- | --- | --- |
| 2011 | Syrian Civil War | Syria | China: UN Security Council diplomacy (non-combat) |
| 2014 | Russo-Ukrainian War | Ukraine | China: economic ties debated internationally |
| 2014 | War in Donbas | Eastern Ukraine | China: no formal belligerency |
| 2015 | Yemen Civil War | Yemen | China: evacuation operations (non-belligerent) |
| 2017 | Insurgency in Cabo Delgado | Mozambique | China: infrastructure interests reported |
| 2020 | Tigray War | Ethiopia | China: mediation calls (non-combat) |
| 2023 | Israel–Hamas War | Gaza/Israel | China: ceasefire proposals |
| 2021 | Myanmar Civil War | Myanmar | China: border security concerns |
| 2018 | Cameroon Anglophone crisis | Cameroon | China: no formal role |
