# Deke McClelland
> Training videos

| Title | Format |
| --- | --- |
| Total Training for Adobe Photoshop 5 | VHS |
| Total Training for Adobe Photoshop 6 | VHS |
| Total Training for Adobe Photoshop 7 | CD-ROM |
| Total Training for Adobe Photoshop CS | DVD-ROM |
| Total Training for Adobe Photoshop CS2 | DVD-ROM |
| Photoshop CS2 Actions & Automation | DVD-ROM |
| Photoshop CS2 Mastering Camera Raw | DVD-ROM |
| Photoshop Elements 5 Essential Training | DVD-ROM |
| Photoshop CS2 Channels & Masks | DVD-ROM |
| Photoshop CS3 One-on-One: Beyond the Basics | DVD-ROM |
| Photoshop CS3 One-on-One: Advanced Techniques | DVD-ROM |
| Photoshop CS3 One-on-One: The Essentials | DVD-ROM |
| Illustrator CS3 One-on-One: The Essentials | ONLINE |
| Illustrator CS3 One-On-One: Beyond the Basics | ONLINE |
| Illustrator CS3 One-On-One: Advanced Techniques | ONLINE |
| Photoshop Top 40 | ONLINE |
| Photoshop CS4 One-on-One: Fundamentals | DVD-ROM |
| Photoshop CS4 One-on-One: Advanced | DVD-ROM |
| Photoshop CS4 One-on-One: Mastery | DVD-ROM |
