# Yoga Pose Name Cross‑Reference (English ↔ Sanskrit) — Core Standing & Balancing Asanas

| Category | English Pose Name | Sanskrit Name (IAST / common transliteration) |
| --- | --- | --- |
| Standing | Mountain Pose | Tadasana |
| Standing | Chair Pose | Utkatasana |
| Standing | Triangle Pose | Trikonasana |
| Standing | Extended Side Angle Pose | Utthita Parsvakonasana |
| Standing | Warrior I | Virabhadrasana I |
| Standing | Warrior II | Virabhadrasana II |
| Standing | Warrior III | Virabhadrasana III |
| Balance | Tree Pose | Vrksasana |
| Balance | Eagle Pose | Garudasana |
| Balance | Half Moon Pose | Ardha Chandrasana |
| Standing / Balance | Dancer Pose | Natarajasana |
