# Global Top YouTube Channels — Rank and Corporate Ownership (No Subscriber Totals)

| Rank | Channel | Parent Company/Network | Label/MCN | Notes |
| --- | --- | --- | --- | --- |
| 1 | T-Series | Super Cassettes Industries Pvt. Ltd. | — | Major Indian music label |
| 2 | SET India | Sony Pictures Networks India | Sony | TV clips and full episodes |
| 3 | Cocomelon – Nursery Rhymes | Moonbug Entertainment | — | Preschool animation |
| 4 | 5-Minute Crafts | TheSoul Publishing | TheSoul | DIY and craft content |
| 5 | Zee Music Company | Zee Entertainment Enterprises | Zee | Music catalog |
| 6 | WWE | WWE, Inc. | — | Sports entertainment |
| 7 | Blackpink | YG Entertainment | — | K-pop group channel |
| 8 | MrBeast | Beast Industries | — | Challenge and philanthropy |
| 9 | Like Nastya | Like Nastya LLC | — | Kids content brand |
| 10 | Kids Diana Show | Kids Diana Show (Brand) | — | Kids roleplay |
| 11 | Pinkfong | The Pinkfong Company | — | Kids songs |
| 12 | Sony SAB | Sony Pictures Networks India | Sony | Indian TV channel content |
