# Statewide opinion polling for the Super Tuesday Democratic Party presidential primaries , 2008
> Polling

| Poll source | Date | Highlights |
| --- | --- | --- |
| Rasmussen Reports Sampling Size: 835 Margin of Error: ±3% | February 4, 2008 | Clinton 49% , Obama 43% |
| Survey USA Sampling Size: 706 Margin of Error: ±3.8% | February 2–3, 2008 | Clinton 52% , Obama 41%, Other 4%, Undecided 3% |
| Reuters/C-SPAN/Zogby Sampling Size: 847 Margin of Error: ±3.4% | February 1–3, 2008 | Clinton 43% , Obama 43%, Gravel 2%, Undecided 14% |
| Reuters/C-SPAN/Zogby Sampling Size: 868 Margin of Error: ±3.4% | January 31 – February 2, 2008 | Clinton 43% , Obama 42%, Gravel 2%, Undecided 14% |
| Mason-Dixon Sampling Size: 400 Margin of Error: ±5% | January 30 – February 1, 2008 | Clinton 46% , Obama 39%, undecided 12% |
| Monmouth University/Gannett Sampling Size: 718 Margin of Error: ±3.5% | January 30 – February 1, 2008 | Clinton 50% , Obama 36%, Other/Undecided 14% |
| Greenberg, Quinlan, Rosner Research Inc. Sampling Size: 600 Margin of Error: ±4% | January 30–31, 2008 | Clinton 44% , Obama 38%, Edwards 3%, Biden 1%, Richardson 1%, Kucinich 1%, Other 2%, Undecided 11% |
| Survey USA Sampling Size: 642 Margin of Error: ±3.9% | January 30–31, 2008 | Clinton 51% , Obama 39%, Other/Undecided 10% |
| Rasmussen Reports Sampling Size: 785 Margin of Error: ±4% | January 30, 2008 | Clinton 49% , Obama 37%, Other/Undecided 12% |
| Quinnipiac University Sampling Size: 464 Margin of Error: ±4.6% | January 15–22, 2008 | Clinton 49% , Obama 32%, Edwards 10%, Kucinich 1%, Other 1%, Don't Know 7% |
| Monmouth/Gannett Sampling Size: 475 Margin of Error: ±4.5% | January 9–13, 2008 | Clinton 42% , Obama 30%, Edwards 9%, Kucinich 2%, Other 1%, Don't Know 17% |
| Research 2000/The Record Sampling Size: 400 Margin of Error: ±5% | January 9–10, 2008 | Clinton 48% , Obama 23%, Edwards 11%, Kucinich 2%, Richardson 2%, Gravel 1%, Undecided 13% |
| Quinnipiac University Sample Size: 387 Margin of Error: ± 5% | December 5–9, 2007 | Clinton 51% , Obama 17%, Edwards 7%, Biden 3%, Kucinich 2%, Richardson 1%, Gravel 1%, Dodd -%, Other 2%, undecided 12% |
| Quinnipiac University | October 9–15, 2007 | Clinton 46% , Obama 20%, Edwards 9%, Richardson 3%, Biden 2%, Kucinich 2%, Dodd 1%, Gravel -%, Other 1%, undecided 14% |
| Monmouth University/Gannett New Jersey Poll | September 27–30, 2007 | Clinton 42% , Obama 23%, Edwards 7%, Biden 2%, Kucinich 2%, Richardson 1%, Gore 1%, Dodd 0%, Gravel 0%, Don't Know 21% |
| Strategic Vision | September 28–30, 2007 | Clinton 52% , Obama 21%, Edwards 7%, Richardson 5%, Biden 2%, Dodd 1%, Kucinich 1%, Undecided 11% |
| Quinnipiac University | 18–23 September 2007 | Clinton 46% , Obama 15%, Gore 11%, Edwards 7%, Biden 3%, Richardson 1%, Kucinich 1%, Dodd -%, Other 1%, undecided 12% |
| Strategic Vision | 24–26 August 2007 | Clinton 49% , Obama 22%, Edwards 8%, Richardson 5%, Biden 3%, Kucinich 1%, Dodd 1%, undecided 11% |
| Rutgers-Eagleton | 2–7 August 2007 | Clinton 45% , Obama 21%, Edwards 16%, Biden 4%, Richardson 1%, Kucinich 1%, Dodd 0%, Gravel 0%, Other 1%, undecided 10% |
| Strategic Vision | July 13–15, 2007 | Clinton 46% , Obama 20%, Edwards 10%, Richardson 7%, Biden 3%, Dodd 2%, Kucinich 1%, Gravel -, undecided 11% |
| Quinnipiac University (with Gore) | June 26 – July 2, 2007 | Clinton 37% , Gore 18%, Obama 15%, Edwards 6%, Richardson 4%, Biden 2%, Dodd 1%, Gravel -, Kucinich -, Other 2%, undecided 13% |
| Quinnipiac University (without Gore) | June 26 – July 2, 2007 | Clinton 46% , Obama 19%, Edwards 8%, Richardson 4%, Biden 3%, Dodd 1%, Gravel -, Kucinich -, Other 2%, undecided 15% |
| Strategic Vision (R) | April 25–27, 2007 | Clinton 40% , Obama 23%, Edwards 12%, Biden 5%, Dodd 2%, Richardson 2%, Kucinich 1%, undecided 15% |
| Monmouth University | April 11–16, 2007 | Clinton 41% , Obama 22%, Edwards 13%, Biden 3%, Richardson 2%, Dodd -, Kucinich -, VOL-Al Gore 1%, Don't Know 18% |
| American Research Group | March 29 – April 2, 2007 | Clinton 37% , Obama 23%, Biden 9%, Edwards 9%, Richardson 6%, Dodd 2%, Kucinich 1%, Clark 0%, Gravel 0%, undecided 14% |
| Quinnipiac University | 20–25 February 2007 | Clinton 41% , Obama 19%, Gore 10%, Edwards 5%, Biden 3%, Clark 1%, Richardson 1%, Kucinich 1%, Someone Else 2%, Wouldn't Vote 2%, undecided 15% |
| Quinnipiac University | 16–22 January 2007 | Clinton 30% , Obama 16%, Gore 11%, Edwards 8%, Kerry 6%, Biden 6%, Clark 2%, Richardson 1%, Someone Else 2%, Wouldn't Vote 1%, undecided 17% |
