# Presidents of the Continental Congress (Pre-Washington  Presidents ) — Roster List

| Order | Name | State |
|---:|---|---|
| 1 | Peyton Randolph | Virginia |
| 2 | Henry Middleton | South Carolina |
| 3 | John Hancock | Massachusetts |
| 4 | Henry Laurens | South Carolina |
| 5 | John Jay | New York |
| 6 | Samuel Huntington | Connecticut |
| 7 | Thomas McKean | Delaware |
| 8 | John Hanson | Maryland |
| 9 | Elias Boudinot | New Jersey |
| 10 | Thomas Mifflin | Pennsylvania |
| 11 | Richard Henry Lee | Virginia |
| 12 | John Hancock | Massachusetts |
| 13 | Nathaniel Gorham | Massachusetts |
| 14 | Arthur St. Clair | Pennsylvania |
| 15 | Cyrus Griffin | Virginia |
