# Tomato Crop Protection  Key Pests Diseases and Management Options

| Tomato Issue Category | Example Pest/Disease | Typical Symptoms | Plant-Based/Companion Options | Non-Plant Options |
| --- | --- | --- | --- | --- |
| Insect | Aphids | Leaf curl, honeydew | Basil nearby; Nasturtium as trap crop | Insecticidal soap |
| Insect | Whiteflies | Yellowing leaves, sooty mold | Marigold companion planting | Sticky traps |
| Insect | Hornworm | Defoliation | Dill to attract beneficials | Hand picking |
| Insect | Cutworms | Seedlings severed | Collars; avoid fresh mulch | Night inspection |
| Disease | Early blight | Leaf spots, defoliation | Improve spacing; remove lower leaves | Copper sprays |
| Disease | Powdery mildew | White powdery coating | Increase airflow | Sulfur dust |
| Disease | Fusarium wilt | Wilting, browning vascular tissue | Resistant varieties | Soil solarization |
| Nematode | Root-knot nematodes | Galls on roots | Marigold as cover crop | Crop rotation |
| Mammal | Rabbits | Chewed stems/leaves | Lavender border (deterrent claim) | Fencing |
