# Common Small-Arms Calibers and Typical Bullet Diameters (Inches and Millimeters)

| Caliber (common name) | Typical bullet diameter (in) | Typical bullet diameter (mm) |
| --- | --- | --- |
| .17 (centerfire/varmint) | 0.172 | 4.37 |
| .20 / .204 | 0.204 | 5.18 |
| .22 (rimfire/classic) | 0.223 | 5.66 |
| .224 (5.56 class) | 0.224 | 5.69 |
| .243 (6 mm) | 0.243 | 6.17 |
| .257 (quarter-bore) | 0.257 | 6.53 |
| .264 (6.5 mm class) | 0.264 | 6.71 |
| .277 | 0.277 | 7.04 |
| .284 (7 mm class) | 0.284 | 7.21 |
| .308 (7.62 class) | 0.308 | 7.82 |
| .311 (7.62x39 / some 7.62 rifles) | 0.311 | 7.90 |
| .338 | 0.338 | 8.59 |
