# Blood Type Share by Country (Only ABO Without Rh + - Breakdown)

| Country | O | A | B | AB | Source note |
|---|---:|---:|---:|---:|---|
| Germany | 41% | 43% | 11% | 5% | National lab aggregation |
| Argentina | 48% | 36% | 12% | 4% | Hospital network estimate |
| South Korea | 27% | 34% | 27% | 12% | Registry snapshot |
| Iran | 36% | 31% | 25% | 8% | Blood service report |
| Kenya | 49% | 25% | 22% | 4% | Regional survey |
| Italy | 44% | 40% | 11% | 5% | Multi-center study |
| Philippines | 39% | 27% | 26% | 8% | Urban donor dataset |
| Chile | 50% | 34% | 12% | 4% |  |
| Morocco | 45% | 30% | 20% | 5% |  |
