# Oxygen-Containing Functional Groups  Names, Group Formulas, and Recognition Clues

| Category | Functional group (name) | Group formula (R = carbon substituent) | Simple example (name) | Example formula | Quick recognition note |
|---|---|---|---|---|---|
| Hydroxyl-containing | Alcohol (hydroxyl) | R–OH | Ethanol | CH3CH2OH | O–H attached to sp3 carbon |
| Hydroxyl-containing | Phenol (aryl hydroxyl) | Ar–OH | Phenol | C6H5OH | O–H attached directly to aromatic ring |
| Carbonyl-containing | Aldehyde | R–C(=O)H (R–CHO) | Ethanal (acetaldehyde) | CH3CHO | Carbonyl at chain end with an H |
| Carbonyl-containing | Ketone | R–C(=O)–R′ | Propanone (acetone) | CH3COCH3 | Carbonyl within chain, flanked by carbons |
| Carboxylic acid | Carboxylic acid (carboxyl) | R–C(=O)OH (R–CO2H) | Ethanoic acid (acetic acid) | CH3CO2H | Carbonyl + hydroxyl on same carbon |
| Carboxylic acid derivative | Ester | R–C(=O)OR′ (R–COOR′) | Ethyl ethanoate | CH3COOCH2CH3 | Carbonyl next to single-bond O linking to carbon |
| Carboxylic acid derivative | Acid anhydride | (R–C(=O))–O–(C(=O)–R′) | Acetic anhydride | (CH3CO)2O | Two carbonyls connected by an O |
| Carboxylic acid derivative | Acyl (acid) halide | R–C(=O)X (X = Cl, Br) | Ethanoyl chloride (acetyl chloride) | CH3COCl | Carbonyl directly bonded to halogen |
| Carboxylic acid derivative | Amide | R–C(=O)NH2 / NHR / NR2 | Ethanamide (acetamide) | CH3CONH2 | Carbonyl bonded to nitrogen |
| Other common O-group | Ether | R–O–R′ | Diethyl ether | CH3CH2OCH2CH3 | Oxygen single-bonded to two carbons; no carbonyl |
