# LPD433
> Channels

| Channel | Frequency (MHz) | Channel | Frequency (MHz) | Channel | Frequency (MHz) |
| --- | --- | --- | --- | --- | --- |
| 1 | 24 | 47 | 433.075 | 433.650 | 434.225 |
| 2 | 25 | 48 | 433.100 | 433.675 | 434.250 |
| 3 | 26 | 49 | 433.125 | 433.700 | 434.275 |
| 4 | 27 | 50 | 433.150 | 433.725 | 434.300 |
| 5 | 28 | 51 | 433.175 | 433.750 | 434.325 |
| 6 | 29 | 52 | 433.200 | 433.775 | 434.350 |
| 7 | 30 | 53 | 433.225 | 433.800 | 434.375 |
| 8 | 31 | 54 | 433.250 | 433.825 | 434.400 |
| 9 | 32 | 55 | 433.275 | 433.850 | 434.425 |
| 10 | 33 | 56 | 433.300 | 433.875 | 434.450 |
| 11 | 34 | 57 | 433.325 | 433.900 | 434.475 |
| 12 | 35 | 58 | 433.350 | 433.925 | 434.500 |
| 13 | 36 | 59 | 433.375 | 433.950 | 434.525 |
| 14 | 37 | 60 | 433.400 | 433.975 | 434.550 |
| 15 | 38 | 61 | 433.425 | 434.000 | 434.575 |
| 16 | 39 | 62 | 433.450 | 434.025 | 434.600 |
| 17 | 40 | 63 | 433.475 | 434.050 | 434.625 |
| 18 | 41 | 64 | 433.500 | 434.075 | 434.650 |
| 19 | 42 | 65 | 433.525 | 434.100 | 434.675 |
| 20 | 43 | 66 | 433.550 | 434.125 | 434.700 |
| 21 | 44 | 67 | 433.575 | 434.150 | 434.725 |
| 22 | 45 | 68 | 433.600 | 434.175 | 434.750 |
| 23 | 46 | 69 | 433.625 | 434.200 | 434.775 |
