# 2008 NASCAR Craftsman Truck Series – Race Finishing Order (Top 10, Sample Event)

| Finish | No. | Driver | Manufacturer | Team |
| --- | --- | --- | --- | --- |
| 1 | 18 | Kyle Busch | Toyota | Billy Ballew Motorsports |
| 2 | 33 | Ron Hornaday | Chevrolet | Kevin Harvick Incorporated |
| 3 | 30 | Todd Bodine | Toyota | Germain Racing |
| 4 | 11 | David Starr | Toyota | Red Horse Racing |
| 5 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 6 | 88 | Matt Crafton | Chevrolet | ThorSport Racing |
| 7 | 2 | Jack Sprague | Chevrolet | Kevin Harvick Incorporated |
| 8 | 60 | Terry Cook | Toyota | Wyler Racing |
| 9 | 99 | Erik Darnell | Ford | Roush Fenway Racing |
| 10 | 6 | Colin Braun | Ford | Roush Fenway Racing |
