# List of LGBT characters in film
> B

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Magnus Bane | The Mortal Instruments: City of Bones | Bisexual | Film |
| Barry | Let's Go to Prison | Gay | Film |
| Countess Bathory | Daughters of Darkness | Lesbian | Film |
| Zachary Beaulieu | C.R.A.Z.Y. | Bisexual | Film |
| Andrew Beckett | Philadelphia | Gay | Film |
| Ben | Wet Hot American Summer | Gay | Film |
| Jim Berkley | American Beauty | Gay | Film |
| Lucy Berliner | High Art | Lesbian | Film |
| Bernie Bernbaum | Miller's Crossing | Gay | Film |
| 'Squash' Bernstein | Victor Victoria | Gay | Film |
| Nelson Biederman IV | Let's Go to Prison | Gay | Film |
| Simon Bishop | As Good as It Gets | Gay | Film |
| Dr. Dakota Block | Planet Terror | Bisexual | Film |
| Megan Bloomfield | But I'm a Cheerleader | Lesbian | Film |
| Bo | Cursed | Gay | Film |
| Vida Boheme | To Wong Foo, Thanks for Everything! Julie Newmar | Gay | Film |
| Howard Brackett | In and Out | Gay | Film |
| Brad | The Perks of Being a Wallflower | Gay | Film |
| Patrick "Kitten" Braden | Breakfast on Pluto | Transgender | Film |
| Brandon | Easy A | Gay | Film |
| Harry Bright | Mamma Mia! | Gay | Film |
| Richard Brown | The Hours | Gay | Film |
| Rock Brown | But I'm a Cheerleader | Gay | Film |
| Joe Buck | Midnight Cowboy | Bisexual | Film |
