# Breaking Bad (TV Series 2008–2013) - Full Cast & Crew - IMDb-style listing

| Name | Department | Credited role | Episodes | Years |
|---|---|---|---:|---|
| Bryan Cranston | Cast | Walter White | 62 episodes | 2008–2013 |
| Aaron Paul | Cast | Jesse Pinkman | 62 episodes | 2008–2013 |
| Anna Gunn | Cast | Skyler White | 62 episodes | 2008–2013 |
| Dean Norris | Cast | Hank Schrader | 62 episodes | 2008–2013 |
| Betsy Brandt | Cast | Marie Schrader | 62 episodes | 2008–2013 |
| RJ Mitte | Cast | Walter White Jr. | 62 episodes | 2008–2013 |
| Bob Odenkirk | Cast | Saul Goodman | 43 episodes | 2009–2013 |
| Giancarlo Esposito | Cast | Gustavo "Gus" Fring | 26 episodes | 2009–2011 |
| Jonathan Banks | Cast | Mike Ehrmantraut | 21 episodes | 2010–2012 |
| Jesse Plemons | Cast | Todd Alquist | 13 episodes | 2012–2013 |
| Krysten Ritter | Cast | Jane Margolis | 11 episodes | 2009–2010 |
| Steven Michael Quezada | Cast | Steven Gomez | 20 episodes | 2008–2013 |
