# Spine MRI CPT Codes Listed With Payment Policies and Patient Cost-Sharing Examples

| Spine MRI Exam | CPT Code | Benefit Tier Example | Coinsurance Example | Deductible Applies? |
| --- | --- | --- | --- | --- |
| Cervical spine MRI without contrast | 72141 | Advanced imaging | 20% | Yes |
| Cervical spine MRI w/wo contrast | 72156 | Advanced imaging | 30% out-of-network | Yes |
| Thoracic spine MRI without contrast | 72146 | Advanced imaging | 20% | Yes |
| Thoracic spine MRI w/wo contrast | 72157 | Advanced imaging | 20% | Yes |
| Lumbar spine MRI without contrast | 72148 | Advanced imaging | 20% | Yes |
| Lumbar spine MRI w/wo contrast | 72158 | Advanced imaging | 20% | Yes |
| Sacrum/coccyx MRI without contrast | 72195 | Advanced imaging | 20% | Yes |
| Whole spine MRI screening | 72100 (example) | Preventive (not typical) | Not covered | N/A |
| Repeat lumbar MRI within 90 days | 72148 | Policy-limited | 50% | Yes |
| MRI under inpatient admission | 72148 | Inpatient bundle | N/A | N/A |
