# Byzantine Emperors (Macedonian Dynasty)  rulers, accession context, and reign

| Emperor | Reign (start) | Reign (end) | Accession / relationship to prior ruler | Co-ruler(s) | Notes on authority |
|---|---|---|---|---|---|
| Basil I | 867 | 886 | Seized power after removing Michael III; founded the Macedonian dynasty | Constantine (son, crowned) | Exercised sole senior authority after 867 |
| Leo VI "the Wise" | 886 | 912 | Son and designated successor of Basil I | Alexander (brother, co-emperor) | Ruled as senior emperor; issued extensive legislation |
| Alexander | 912 | 913 | Co-emperor under Leo VI; became senior on Leo’s death | Constantine VII (nephew, minor) | Short sole rule; power centered in the palace |
| Constantine VII Porphyrogenitus | 913 | 959 | Legitimate son of Leo VI; initially a minor under regencies and senior co-emperors | Romanos I (senior co-emperor 920–944) | Eventually ruled as senior after 945 |
| Romanos I Lekapenos | 920 | 944 | Rose as admiral/regent; married daughter to Constantine VII and crowned himself senior | Christopher, Stephen, Constantine (sons) | Held practical authority while Constantine VII was sidelined |
| Romanos II | 959 | 963 | Son of Constantine VII; inherited the throne | Basil II & Constantine VIII (sons, crowned as minors) | Delegated military affairs to leading generals |
| Nikephoros II Phokas | 963 | 969 | Senior general; married the empress-widow and became senior emperor | Basil II & Constantine VIII (nominal co-emperors) | Strong personal military authority; court opposition grew |
| John I Tzimiskes | 969 | 976 | Overthrew Nikephoros II; recognized Basil II and Constantine VIII as co-emperors | Basil II & Constantine VIII | Acted as senior ruler until his death |
| Basil II "the Bulgar-Slayer" | 976 | 1025 | Co-emperor since childhood; became effective senior ruler after ending regency constraints | Constantine VIII (brother, co-emperor) | Long personal rule; centralized imperial authority |
| Constantine VIII | 1025 | 1028 | Long-time co-emperor; became senior after Basil II’s death | — | Senior authority late in life; succession arranged via daughters |
| Romanos III Argyros | 1028 | 1034 | Married Zoe, daughter of Constantine VIII, to legitimize accession | Zoe (empress-consort) | Authority tied to dynastic marriage |
| Michael IV the Paphlagonian | 1034 | 1041 | Elevated by court faction; married to Zoe | Zoe (empress) | Practical authority often exercised by his brother John the Orphanotrophos |
