# U.S. State Comparison — Debt Contract Limitation Periods (Oral vs. Written, in Years)

| State | Oral agreement (years) | Written contract / written debt (years) | Practical grouping |
|---|---:|---:|---|
| Connecticut | 3 | 6 | Written longer |
| Delaware | 3 | 3 | Same for oral/written in many contract contexts |
| Hawaii | 6 | 6 | Same period (general contract) |
| Idaho | 4 | 5 | Written slightly longer |
| Iowa | 5 | 10 | Written much longer |
| Kansas | 3 | 5 | Written longer |
| Kentucky | 5 | 15 | Written much longer |
| Maine | 6 | 6 | Same period |
| Maryland | 3 | 3 | Same period |
| Mississippi | 3 | 3 | Same period |
| Missouri | 5 | 10 | Written longer |
| Montana | 5 | 8 | Written longer |
| Nebraska | 4 | 5 | Written longer |
| New Hampshire | 3 | 3 | Same period |
| Rhode Island | 10 | 10 | Long period; often treated similarly |
|
