# Singapore Companies Directory (Includes Private Firms and Non-SGX Entities)

| Company | Type | Sector | Singapore Registered | Exchange/Status | Identifier | Founded/Listed |
| --- | --- | --- | --- | --- | --- | --- |
| Bee Cheng Hiang | Private | Food & Beverage | Yes | Private (Not listed) | - | 1933 |
| Grab (Singapore) Pte. Ltd. | Private Subsidiary | Technology | Yes | Subsidiary (Not an SGX listing) | - | 2012 |
| CapitaLand Investment Limited | Public | Real Estate | Yes | SGX Mainboard | SG1T65930496 | 2021-09-20 |
| Razer Inc. | Public | Consumer Electronics | No | HKEX | KYG7404A1067 | 2017-11-13 |
| Olam Group Limited | Public | Agri-business | Yes | SGX Mainboard | SG1Q75923504 | 1999-02-11 |
| Broadcom Inc. | Public | Semiconductors | No | NASDAQ | US11135F1012 | 2009-04-06 |
| Creative Technology Ltd | Public | Electronics | Yes | NASDAQ (Historical) | SG1E24840577 | 1992-06-17 |
| Shopee (SEA subsidiary) | Private Subsidiary | E-commerce | Yes | Not separately listed | - | 2015 |
| Singapore Post Ltd | Public | Logistics | Yes | SGX Mainboard | SG1N29909362 | 1992-05-13 |
| Keppel Corporation Limited | Public | Industrials | Yes | SGX Mainboard | SG1U68934629 | 1969-12-01 |
