# Major Nazi Concentration Camps (Selected) — Camp-by-Camp List with Locale and Present-day Country

| Camp name | Locale (nearest city/region) | Present-day country | Camp type (summary) | Period (approx.) |
| --- | --- | --- | --- | --- |
| Dachau | Dachau, Bavaria | Germany | Concentration / forced labor | 1933–1945 |
| Sachsenhausen | Oranienburg, Brandenburg | Germany | Concentration / forced labor | 1936–1945 |
| Buchenwald | Near Weimar, Thuringia | Germany | Concentration / forced labor | 1937–1945 |
| Ravensbrück | Near Fürstenberg/Havel, Brandenburg | Germany | Concentration (women’s camp) | 1939–1945 |
| Bergen-Belsen | Near Celle, Lower Saxony | Germany | Concentration / prisoner holding | 1943–1945 |
| Mauthausen-Gusen | Mauthausen, Upper Austria | Austria | Concentration / forced labor | 1938–1945 |
| Flossenbürg | Flossenbürg, Bavaria | Germany | Concentration / forced labor | 1938–1945 |
| Neuengamme | Near Hamburg | Germany | Concentration / forced labor | 1938–1945 |
| Stutthof | Near Gdańsk (Sztutowo), Pomerania | Poland | Concentration / forced labor | 1939–1945 |
| Theresienstadt (Terezín) | Terezín, Ústí nad Labem Region | Czech Republic | Ghetto / transit camp | 1941–1945 |
