# Northeast ZIP Codes (Routing Type and Facility)

| ZIP Code | State | ZIP Category | Facility / Use | Primary City |
|---|---|---|---|---|
| 01002 | MA | Standard | Carrier routes | Amherst |
| 01109 | MA | Standard | Delivery area | Springfield |
| 02840 | RI | Standard | Coastal delivery routes | Newport |
| 02903 | RI | PO Box | Central PO Box unit | Providence |
| 03060 | NH | Standard | Carrier routes | Nashua |
| 03101 | NH | PO Box | Main post office boxes | Manchester |
| 04101 | ME | Standard | Downtown delivery zone | Portland |
| 06103 | CT | Standard | Business delivery core | Hartford |
| 06510 | CT | Standard | University area routes | New Haven |
