# SSBM Unlocks — Character-Specific Challenges and VS Match Milestones (Roster Only)

| Category | Unlockable Fighter | Requirement Type | Exact Requirement | Notes |
| --- | --- | --- | --- | --- |
| Mode clear | Jigglypuff | Single-player | Beat **Classic Mode** (any fighter) | Challenger fight triggers immediately after clear |
| Mode clear | Young Link | Single-player | Beat **Adventure Mode** | Challenger fight after completion |
| Character-based | Dr. Mario | Character clear | Beat **Classic Mode as Mario** | Alternative to match-count unlock |
| Event match | Ganondorf | Event | Clear **Event 29** | Alternative to match-count unlock |
| Special Melee | Falco | Stadium/Challenge | Clear **100-Man Melee** | Alternative to match-count unlock |
| Match milestone | Dr. Mario | VS matches | **100 VS. matches** | If not already unlocked via Classic as Mario |
| Match milestone | Falco | VS matches | **300 VS. matches** | If not already unlocked via 100-Man Melee |
| Match milestone | Ganondorf | VS matches | **600 VS. matches** | If not already unlocked via Event 29 |
| Match milestone | Luigi | VS matches | **800 VS. matches** | Alternative exists via Adventure timing |
| Late-game | Mewtwo | Completion/Grind | Play **700 VS. matches** *or* clear Classic with every character | Commonly treated as the final unlockable fighter |
