# Common Ions and Their Charges (Selected Cations and Anions)

| Ion Name | Ion Formula | Charge Notation | Notes |
|---|---|---|---|
| Sodium ion | Na+ | +1 | Alkali metal cation |
| Magnesium ion | Mg2+ | +2 | Alkaline earth cation |
| Aluminum ion | Al3+ | +3 | Common main-group cation |
| Iron(II) ion | Fe2+ | +2 | Transition metal cation |
| Iron(III) ion | Fe3+ | +3 | Transition metal cation |
| Copper(I) ion | Cu+ | +1 | Transition metal cation |
| Copper(II) ion | Cu2+ | +2 | Transition metal cation |
| Chloride ion | Cl- | -1 | Halide anion |
| Oxide ion | O2- | -2 | Common anion |
| Sulfate ion | SO4^2- | -2 | Polyatomic anion |
