# Capital Punishment Status in Europe (Selected Countries) — Legal Status and Last Execution

| Country | Legal status (ordinary crimes) | Abolition scope | Year abolished (ordinary crimes) | Last execution (peacetime) | Retained for wartime/military law? | Key legal notes |
| --- | --- | --- | --- | --- | --- | --- |
| Albania | Abolished | All crimes | 2007 | 1992 | No | Abolition completed by aligning with European human-rights instruments |
| Austria | Abolished | All crimes | 1968 | 1950 | No | Constitutional and statutory abolition; no wartime exception |
| Belgium | Abolished | All crimes | 1996 | 1950 | No | Formal legal abolition followed long period of non-use |
| Bosnia and Herzegovina | Abolished | All crimes | 2001 | 1977 | No | Entity-level reforms unified toward full abolition |
| Bulgaria | Abolished | All crimes | 1998 | 1989 | No | Abolition after moratorium period |
| Croatia | Abolished | All crimes | 1990 | 1987 | No | Transition-era reforms removed death penalty from criminal law |
| Cyprus | Abolished | All crimes | 2002 | 1962 | No | Full abolition after earlier limitation to exceptional offenses |
| Czech Republic | Abolished | All crimes | 1990 | 1989 | No | Abolished following democratic transition |
| Denmark | Abolished | All crimes | 1978 | 1950 | No | Wartime provisions removed; now fully abolished |
| Estonia | Abolished | All crimes | 1998 | 1991 | No | Abolition accompanied by criminal code modernization |
| Finland | Abolished | All crimes | 1972 | 1944 | No | Peacetime abolished earlier; later extended to all crimes |
| France | Abolished | All crimes | 1981 | 1977 | No | Abolished by statute; later entrenched via international commitments |
| Germany | Abolished | All crimes | 1949 | 1949 | No | Abolition embedded in Basic Law |
| Greece | Abolished | All crimes | 2004 | 1972 | No | Gradual restriction followed by complete abolition |
| Hungary | Abolished | All crimes | 1990 | 1988 | No | Constitutional court decision and subsequent legal reforms |
| Iceland | Abolished | All crimes | 1928 | 1830 | No | One of the earliest European abolitions |
| Ireland | Abolished | All crimes | 1990 | 1954 | No | Abolition consolidated by constitutional and statutory change |
| Italy | Abolished | All crimes | 1994 | 1947 | No | Peacetime abolished earlier; full abolition later completed |
| Latvia | Abolished | All crimes | 2012 | 1996 | No | Moratorium preceded formal abolition |
| Lithuania | Abolished | All crimes | 1998 | 1995 | No | Constitutional court ruling led to abolition |
| Luxembourg | Abolished | All crimes | 1979 | 1949 | No | Statutory abolition; fully removed from criminal law |
| Malta | Abolished | All crimes | 2000 | 1943 | No | Full abolition included military provisions |
| Moldova | Abolished | All crimes | 2005 | 1985 | No | Constitutional and criminal-code reforms ended death penalty |
| Montenegro | Abolished | All crimes | 2002 | 1981 | No | Removed during post-Yugoslav legal reforms |
| Netherlands | Abolished | All crimes | 1982 | 1952 | No | Peacetime abolished earlier; later completed for all offenses |
| North Macedonia | Abolished | All crimes | 1991 | 1988 | No | Post-independence legal reform eliminated death penalty |
| Norway | Abolished | All crimes | 1979 | 1948 | No | Wartime provisions removed after earlier postwar use |
| Poland | Abolished | All crimes | 1997 | 1988 | No | Moratorium and constitutional changes preceded abolition |
| Portugal | Abolished | All crimes | 1976 | 1846 | No | Long-standing abolition tradition; fully abolished in modern constitution |
| Romania | Abolished | All crimes | 1990 | 1989 | No | Abolished after regime change; last execution in 1989 |
| Slovakia | Abolished | All crimes | 1990 | 1989 | No | Abolished after Czechoslovak legal reforms |
| Slovenia | Abolished | All crimes | 1991 | 1959 | No | Abolition tied to independence-era legal restructuring |
| Spain | Abolished | All crimes | 1995 | 1975 | No | Full abolition included military code changes |
| Sweden | Abolished | All crimes | 1973 | 1910 | No | Peacetime abolished earlier; completed to all crimes later |
| Switzerland | Abolished | All crimes | 1942 | 1944 | No | Federal reforms eliminated death penalty nationwide |
| Ukraine | Abolished | All crimes | 2000 | 1997 | No | Moratorium followed by constitutional/codified abolition |
