# Boiling Points of Selected Alkanes Including Branched Isomers (1 atm) — Same Formula, Different Volatility

| Molecular formula | Alkane (isomer name) | Structure type | Normal boiling point (°C) |
|---|---|---|---:|
| C4H10 | n-Butane | straight-chain | -0.5 |
| C4H10 | Isobutane (2-methylpropane) | branched | -11.7 |
| C5H12 | n-Pentane | straight-chain | 36.1 |
| C5H12 | Isopentane (2-methylbutane) | branched | 27.8 |
| C5H12 | Neopentane (2,2-dimethylpropane) | highly branched | 9.5 |
| C6H14 | n-Hexane | straight-chain | 68.7 |
| C6H14 | 2-Methylpentane (isohexane) | branched | 60.3 |
| C6H14 | 3-Methylpentane | branched | 63.3 |
| C6H14 | 2,2-Dimethylbutane | highly branched | 49.7 |
| C6H14 | 2,3-Dimethylbutane | branched | 58.0 |
