# Carbonation Chemistry and Acidity  Sparkling Water pH Explained (Not Brand-Specific)

| Topic | What It Means | Typical pH Impact | Notes | Example (Generic) |
|---|---|---|---|---|
| Dissolved CO2 | CO2 forms carbonic acid in water | Lowers pH | More CO2 → lower pH | Sparkling water |
| Carbonic Acid (H2CO3) | Weak acid equilibrium | pH ~3–5 common | Depends on pressure | Club soda |
| Buffering Minerals | Bicarbonate/carbonate resist pH change | Raises/holds pH | High alkalinity stabilizes | Mineral water |
| Temperature | Solubility of CO2 changes with temp | Cold can retain CO2 | Measurement should note temp | Chilled sparkling |
| Degassing | Letting CO2 escape | pH rises over time | Stirring speeds degassing | Opened bottle |
| Measuring pH | Probe vs strips | Probe more reliable | Calibrate for accuracy | Lab setup |
| TDS vs pH | Total dissolved solids not equal to pH | No direct conversion | Minerals affect buffering | Any water |
| Label Claims | "Alkaline" marketing | May not reflect measured pH | Check test method | Generic |
| Safety | pH and tooth enamel | Low pH may affect enamel | Also depends on acids present | Generic |
| Summary | — | Sparkling tends to be more acidic | Brand list required for comparison | — |
