# NPT Pipe Tap Drill Size Chart (Nominal NPT Sizes)

| NPT Tap Size | Threads Per Inch (TPI) | Recommended Tap Drill (Fractional) | Recommended Tap Drill (Decimal in) |
| --- | --- | --- | --- |
| 1/16-27 NPT | 27 | 11/32 | 0.3438 |
| 1/8-27 NPT | 27 | 11/32 | 0.3438 |
| 1/4-18 NPT | 18 | 7/16 | 0.4375 |
| 3/8-18 NPT | 18 | 37/64 | 0.5781 |
| 1/2-14 NPT | 14 | 23/32 | 0.7188 |
| 3/4-14 NPT | 14 | 59/64 | 0.9219 |
| 1-11.5 NPT | 11.5 | 1 5/32 | 1.1563 |
| 1 1/4-11.5 NPT | 11.5 | 1 1/2 | 1.5000 |
| 1 1/2-11.5 NPT | 11.5 | 1 47/64 | 1.7344 |
| 2-11.5 NPT | 11.5 | 2 1/4 | 2.2500 |
