# Average Annual Snowfall by Köppen Climate Classification (Selected Types)

| Köppen type | Climate description | Typical locations (examples) | Avg annual snowfall (cm) | Seasonal pattern |
| --- | --- | --- | --- | --- |
| Dfb | Humid continental (warm summer) | Parts of Great Lakes, Baltic | 120 | Long winter, frequent snow |
| Dfc | Subarctic | Interior Alaska, northern Canada | 150 | Very cold, dry snow |
| Cfb | Oceanic | NW Europe, coastal Pacific NW | 40 | Intermittent winter snow |
| Cfa | Humid subtropical | SE U.S., east China | 10 | Rare, episodic events |
| BSk | Cold semi-arid | High plains, Central Asia | 35 | Light but persistent |
| ET | Tundra | Arctic coasts | 60 | Low totals, frequent light snow |
| EF | Ice cap | Greenland interior | 200 | Snow/ice accumulation dominant |
| H | Highland (non-standard) | Major mountain ranges | 180 | Strong elevation dependence |
| Aw | Tropical savanna | Tropics | 0 | No snowfall |
