# State Income Tax Return Deadlines (Original vs After Extension) — Tax Year 2015 Snapshot

| State | Original Return Due Date | Extension Request Due Date | Return Due Date After Extension | Notes (what the “after extension” date represents) |
| --- | --- | --- | --- | --- |
| Alabama | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | Extended filing deadline for 2015 individual return |
| California | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | Six-month extension; filing due date shown |
| Colorado | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | Return due after extension is mid-October |
| Kentucky | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | Extended filing deadline shown side-by-side |
| Louisiana | May 16, 2016 | May 16, 2016 | Nov 15, 2016 | States with later original deadline also shift later |
| Massachusetts | Apr 19, 2016 | Apr 19, 2016 | Oct 17, 2016 | Patriot’s Day shift reflected in original due date |
| Michigan | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | After-extension date is the final filing deadline |
| Minnesota | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | Standard six-month extension deadline |
| New York | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | Extension filing deadline mirrors federal pattern |
| South Carolina | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | Explicit after-extension filing due date included |
| Virginia | May 2, 2016 | May 2, 2016 | Nov 1, 2016 | Example of a later after-extension deadline |
| Wisconsin | Apr 18, 2016 | Apr 18, 2016 | Oct 17, 2016 | After-extension date is the return filing cutoff |
