# Lensbaby
> Compatibility

| Lensbody | Nikon F | Canon EF | Sony A | Four Thirds | Pentax K | Sony E | Samsung NX | Micro Four Thirds | Canon FD | Leica R | Screw Mount (M42) | Pentax 67 | Mamiya 645 Pro-TL | Minolta SR | Contax/ Yashica | Olympus OM |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Composer Pro | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | No | No | No | No | No | No | No | No |
| Spark | Yes | Yes | No | No | No | No | No | No | No | No | No | No | No | No | No | No |
| Muse | Yes | Yes | Yes | Yes | Yes | No | No | No | No | No | No | No | No | No | No | No |
| Scout | Yes | Yes | Yes | Yes | Yes | No | No | No | No | No | No | No | No | No | No | No |
| *Composer | Yes | Yes | Yes | Yes | Yes | No | No | No | No | No | No | No | No | No | No | No |
| *Control Freak | Yes | Yes | Yes | Yes | Yes | No | No | No | No | No | No | No | No | No | No | No |
| *Composer with Tilt Transformer | No | No | No | No | No | Yes | No | Yes | No | No | No | No | No | No | No | No |
| *3G | Yes | Yes | Yes | Yes | Yes | No | No | No | No | No | No | Yes | Yes | No | No | No |
| *2.0 | Yes | Yes | Yes | Yes | Yes | No | No | No | Yes | Yes | Yes | No | No | Yes | Yes | Yes |
| *Original Lensbaby | Yes | Yes | Yes | Yes | Yes | No | No | No | Yes | Yes | Yes | No | No | Yes | Yes | Yes |
