# Shift key
> Windows specific

| Actions | Result | Windows Versions |
| --- | --- | --- |
| Press Ctrl + ⇧ Shift + Esc | Opens the Windows Task Manager . | 3.1+ |
| Hold ⇧ Shift + click Restart | Reboots Windows only and not the entire system. | 95, 98, ME |
| Hold ⇧ Shift + insert CD | Holding shift while inserting a compact disc in a Microsoft Windows computer will bypass the autorun feature. This ability has been used to circumvent the MediaMax CD-3 CD copy protection system. | 95+ |
| Hold ⇧ Shift + click close button | In Windows Explorer , closes the current folder and all parent folders. | 95+ |
| Press ⇧ Shift + Delete | In Windows Explorer , if pressed with objects selected, such as files and folders, this will bypass the recycle bin and delete the selected objects permanently. Alternatively, holding shift and selecting the delete option in the context menu of the selected objects will achieve this. Retrieving deleted objects after this is only possible using recovery software. | 95+ |
| Press ⇧ Shift + Tab ↹ | Focuses on the previous object in the objects that are focusable in many Windows applications, such as the previous form control on a form in Internet Explorer . | 3.1+ |
| Press ⇧ Shift 5 times | Toggles activation of StickyKeys on and off. | 95+ |
| Hold the right ⇧ Shift for 8 seconds | Toggles activation of FilterKeys on and off. | 95+ |
| Press both ⇧ Shift keys | Inactivates StickyKeys if it is activated. | 95+ |
| Press left Alt + left ⇧ Shift + Num Lock | Toggles activation of MouseKeys on and off. | 95+ |
| Press left Alt + left ⇧ Shift + Print Screen | Toggles activation of High Contrast on and off. | 95+ |
| Press ⊞ Win + ⇧ Shift + Tab ↹ | Highlights the last task in the task bar. Continue to cycle through the task bar with the arrow keys, ⊞ Win + Tab ↹ (forward), ⊞ Win + ⇧ Shift + Tab ↹ (backwards), or alphanumeric keys (highlights the task that begins with the alphanumeric character that is pressed). Press Space Bar or ↵ Enter to open the task. | 95+ |
| Press Alt + ⇧ Shift + Tab ↹ | Displays a list of the tasks in the task bar for as long as the Alt is held down. Selects the last task in the list. Continue to cycle through the list by pressing ⇧ Shift + Tab ↹ . Release Alt to open the selected task. | 3.1+ |
| Press Ctrl + ⇧ Shift + Tab ↹ | Selects the previous tabbed window in any Windows applications is that use the tabbed window control. | 3.1+ |
