# Black Panther (2018) — Soundtrack Tracklist (Song + Primary Artist)

| Track No. | Song Title | Performer/Artist |
| ---: | --- | --- |
| 1 | Black Panther | Kendrick Lamar |
| 2 | All the Stars | Kendrick Lamar & SZA |
| 3 | X | Schoolboy Q, 2 Chainz & Saudi |
| 4 | The Ways | Khalid & Swae Lee |
| 5 | Opps | Vince Staples & Yugen Blakrok |
| 6 | I Am | Jorja Smith |
| 7 | Paramedic! | SOB X RBE |
| 8 | Bloody Waters | Ab-Soul, Anderson .Paak & James Blake |
| 9 | King's Dead | Jay Rock, Kendrick Lamar, Future & James Blake |
| 10 | Redemption Interlude | Zacari |
| 11 | Big Shot | Kendrick Lamar & Travis Scott |
| 12 | Pray for Me | The Weeknd & Kendrick Lamar |
