# Investment in post-invasion Iraq
> Assessing reconstruction needs

| Sector | Needs (US$billion) |
| --- | --- |
| Government Institutions | 0.39 |
| Education | 4.81 |
| Health | 1.60 |
| Employment creation | 0.79 |
| Transport and telecommunications | 3.41 |
| Water, sanitation, solid waste | 6.84 |
| Electricity | 12.12 |
| Urban Management | 0.41 |
| Housing and Land Management | 1.42 |
| Agriculture and Water Resources | 3.03 |
| State-Owned Enterprises | 0.36 |
| Financial Sector | 0.081 |
| Investment Climate | 0.34 |
| Mine Action | 0.23 |
| Total | 35.82 |
