# Confederate State Government Officeholders by Home State (Selected Cabinet and Congress)

| Person | Office | Term (start) | Term (end) | Home State | Notes |
|---|---|---|---|---|---|
| Jefferson Davis | President | Feb 1861 | May 1865 | Mississippi | Former U.S. Senator |
| Alexander H. Stephens | Vice President | Feb 1861 | May 1865 | Georgia | “Cornerstone” speech |
| Robert Toombs | Secretary of State | Feb 1861 | Jul 1861 | Georgia | Early cabinet member |
| Judah P. Benjamin | Secretary of State | Mar 1862 | May 1865 | Louisiana | Also served War/Attorney General |
| Christopher G. Memminger | Secretary of the Treasury | Feb 1861 | Jun 1864 | South Carolina | Treasury head |
| George W. Randolph | Secretary of War | Mar 1862 | Nov 1862 | Virginia | Cabinet reshuffle |
| Stephen R. Mallory | Secretary of the Navy | Feb 1861 | May 1865 | Florida | Naval administration |
| John H. Reagan | Postmaster General | Feb 1861 | May 1865 | Texas | Later U.S. Senator |
| Thomas H. Watts | Attorney General | Feb 1862 | Sep 1863 | Alabama | Later governor |
| Howell Cobb | President of the Provisional Congress | Feb 1861 | Feb 1862 | Georgia | Provisional government |
| Robert M. T. Hunter | Confederate Senator | 1862 | 1865 | Virginia | Former U.S. Senator |
