# List of French monarchs (House of Valois and Bourbon) — Late medieval to early modern France

| Name | Reign start | Reign end | Royal house | Style / title(s) | Relationship to predecessor |
| --- | --- | --- | --- | --- | --- |
| Philip VI | 1 Feb 1328 | 22 Aug 1350 | Valois | King of France | Male-line cousin of Charles IV; succeeded after Capetian direct line ended |
| John II "the Good" | 22 Aug 1350 | 8 Apr 1364 | Valois | King of France | Son of Philip VI |
| Charles V "the Wise" | 8 Apr 1364 | 16 Sep 1380 | Valois | King of France | Son of John II |
| Charles VI "the Mad" | 16 Sep 1380 | 21 Oct 1422 | Valois | King of France | Son of Charles V |
| Charles VII "the Victorious" | 21 Oct 1422 | 22 Jul 1461 | Valois | King of France | Son of Charles VI |
| Louis XI "the Prudent" | 22 Jul 1461 | 30 Aug 1483 | Valois | King of France | Son of Charles VII |
| Francis I | 1 Jan 1515 | 31 Mar 1547 | Valois-Angoulême | King of France | First cousin once removed of Louis XII; succeeded as closest male heir |
| Henry II | 31 Mar 1547 | 10 Jul 1559 | Valois-Angoulême | King of France | Son of Francis I |
| Henry IV | 2 Aug 1589 | 14 May 1610 | Bourbon | King of France (and Navarre) | First cousin of Henry III; succeeded as senior legitimate male-line heir |
