# Landscape Plants With Resistance Traits (Deer, Drought, and General Pest Tolerance)

| Plant | Deer Resistance | Drought Tolerance | General Pest Tolerance | Notes |
| --- | --- | --- | --- | --- |
| Lavender (Lavandula spp.) | High | High | High | Fragrant ornamental |
| Rosemary (Salvia rosmarinus) | High | High | Medium | Culinary herb |
| Marigold (Tagetes spp.) | Medium | Medium | Medium | Annual bedding plant |
| Mint (Mentha spp.) | High | Medium | Medium | Spreads aggressively |
| Sage (Salvia officinalis) | High | High | Medium | Culinary herb |
| Basil (Ocimum basilicum) | Low | Low | Low | Frost-sensitive |
| Chrysanthemum (Chrysanthemum spp.) | Medium | Medium | Medium | Often treated as seasonal |
| Citronella grass (Cymbopogon spp.) | Medium | Medium | Medium | Warm-season grass |
| Geranium (Pelargonium spp.) | Medium | Medium | Medium | Container-friendly |
| Fennel (Foeniculum vulgare) | Medium | High | Medium | Can self-seed |
| Yarrow (Achillea millefolium) | High | High | High | Pollinator-friendly |
