# Elemental Composition of the Earth's Crust (Major Elements by Mass)

| Rank | Element | Symbol | Crustal abundance (wt%) | Notes |
|---:|---|---|---:|---|
| 1 | Oxygen | O | 46.6 | Most abundant element in the crust by mass |
| 2 | Silicon | Si | 27.7 | Second most abundant; dominant in silicate minerals |
| 3 | Aluminum | Al | 8.1 | Common in feldspars and clays |
| 4 | Iron | Fe | 5.0 | Present in oxides and silicates |
| 5 | Calcium | Ca | 3.6 | Important in plagioclase and carbonates |
| 6 | Sodium | Na | 2.8 | Alkali metal in feldspars |
| 7 | Potassium | K | 2.6 | Abundant in K-feldspar and micas |
| 8 | Magnesium | Mg | 2.1 | Common in mafic minerals |
| 9 | Titanium | Ti | 0.57 | Concentrated in accessory minerals |
| 10 | Hydrogen | H | 0.14 | Mostly in water-bearing minerals |
| 11 | Phosphorus | P | 0.12 | Mainly in apatite |
| 12 | Manganese | Mn | 0.10 | Trace-to-minor element in many rocks |
