# Need for Speed Mainline Games (Year-Only Release Overview)

| Game Title | Release Year | Platforms (high level) |
|---|---:|---|
| The Need for Speed | 1994 | PC, 3DO |
| Need for Speed II | 1997 | PC, PlayStation |
| Need for Speed III: Hot Pursuit | 1998 | PC, PlayStation |
| Need for Speed: High Stakes | 1999 | PC, PlayStation |
| Need for Speed: Porsche Unleashed | 2000 | PC, PlayStation |
| Need for Speed: Hot Pursuit 2 | 2002 | PS2, PC, GameCube, Xbox |
| Need for Speed: Underground | 2003 | Multi-platform |
| Need for Speed: Most Wanted | 2005 | Multi-platform |
| Need for Speed Rivals | 2013 | Multi-platform |
| Need for Speed (reboot) | 2015 | Multi-platform |
