# Qatar Airways destinations (selected) grouped by country and city

| Country | City | Airport |
| --- | --- | --- |
| United Kingdom | London | Hamad Intl. to London Heathrow Airport |
| United Kingdom | Manchester | Manchester Airport |
| United Kingdom | Edinburgh | Edinburgh Airport |
| Australia | Sydney | Sydney Airport |
| Australia | Melbourne | Melbourne Airport |
| Australia | Perth | Perth Airport |
| India | Delhi | Indira Gandhi International Airport |
| India | Mumbai | Chhatrapati Shivaji Maharaj International Airport |
| India | Bengaluru | Kempegowda International Airport |
| South Africa | Johannesburg | O. R. Tambo International Airport |
| South Africa | Cape Town | Cape Town International Airport |
| South Africa | Durban | King Shaka International Airport |
