# List of LGBT characters in film
> G

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Gabriel | Trick | Gay | Film |
| Pussy Galore | Goldfinger | Lesbian | Film |
| Wai-Tung Gao | Hsi yen | Gay | Film |
| Gareth | Four Weddings and a Funeral | Gay | Film |
| Dr. Beth Garner | Basic Instinct | Bisexual | Film |
| Carmen Ghia | The Producers | Gay | Film |
| Rebecca Gilles | Bridget Jones: The Edge of Reason | Lesbian | Film |
| Allen Ginsberg | Kill Your Darlings | Bisexual | Film |
| Frank Ginsberg | Little Miss Sunshine | Gay | Film |
| Jonathan Glover | A Home at the End of the World | Gay | Film |
| Tommy Gnosis/Tommy Speck | Hedwig and the Angry Inch | Bisexual | Film |
| Enrique Goded | Bad Education | Gay | Film |
| Joel Goldberg | But I'm a Cheerleader | Gay | Film |
| Albert Goldman | The Birdcage | Gay | Film |
| Armand Goldman | The Birdcage | Gay | Film |
| Tommy Grayton | Big Daddy | Gay | Film |
| Greta | High Art | Lesbian | Film |
| Jame Gumb | The Silence of the Lambs | Gay/Transgender | Film |
