# Demographics of Egypt
> Population

|  | Midyear Population | Urban Population (in thousands) | Urban Population (per cent) | Rural Population (in thousands) | Rural Population (per cent) |
| --- | --- | --- | --- | --- |
| 1990 | 51 911 | 22 519 | 43.4 | 29 392 | 56.6 |
| 1991 | 52 985 | 22 908 | 43.2 | 30 077 | 56.8 |
| 1992 | 54 082 | 23 366 | 43.2 | 30 716 | 56.8 |
| 1993 | 55 201 | 23 804 | 43.1 | 31 397 | 56.9 |
| 1994 | 56 344 | 24 276 | 43.1 | 32 068 | 56.9 |
| 1995 | 57 642 | 24 709 | 42.9 | 32 933 | 57.1 |
| 1996 | 58 835 | 25 053 | 42.6 | 33 782 | 57.4 |
| 1997 | 60 053 | 25 578 | 42.6 | 34 475 | 57.4 |
| 1998 | 61 296 | 26 104 | 42.6 | 35 192 | 57.4 |
| 1999 | 62 565 | 26 559 | 42.5 | 36 006 | 57.5 |
| 2000 | 63 860 | 27 132 | 42.5 | 36 728 | 57.5 |
| 2001 | 65 182 | 28 118 | 43.1 | 37 064 | 56.9 |
| 2002 | 66 628 | 28 554 | 42.9 | 38 074 | 57.1 |
| 2003 | 67 965 | 29 130 | 42.9 | 38 835 | 57.1 |
| 2004 | 69 304 | 29 653 | 42.8 | 39 651 | 57.2 |
| 2005 | 70 653 | 30 187 | 42.7 | 40 466 | 57.3 |
| 2006 | 72 009 | 30 585 | 42.5 | 41 424 | 57.5 |
| 2007 | 73 644 | 31 720 | 43.1 | 41 924 | 56.9 |
| 2008 | 75 194 | 32 249 | 42.9 | 42 945 | 57.1 |
| 2009 | 76 925 | 33 083 | 43.0 | 43 842 | 57.0 |
| 2010 | 78 685 | 33 804 | 43.0 | 44 881 | 57.0 |
| 2011 | 80 530 | 34 489 | 42.8 | 46 041 | 57.2 |
| 2012 | 82 550 | 35 373 | 42.9 | 47 177 | 57.1 |
| 2013 | 84 629 | 36 213 | 42.8 | 48 416 | 57.2 |
| 2014 | 86 814 | 37 095 | 42.7 | 49 719 | 57.3 |
