# Unified Thread (UNC UNF) Tap Drill Size Chart (Recommended Tap-Drill Focus)

| Thread (Tap Size) | Series | TPI | Recommended Tap Drill (Fraction) | Recommended Tap Drill (Number/Letter) | Tap Drill Diameter (in) |
| --- | --- | --- | --- | --- | --- |
| #4-40 | UNC | 40 | 3/32 | #43 | 0.0890 |
| #6-32 | UNC | 32 | 7/64 | #36 | 0.1065 |
| #8-32 | UNC | 32 | 9/64 | #29 | 0.1360 |
| #10-24 | UNC | 24 | 5/32 | #25 | 0.1495 |
| #10-32 | UNF | 32 | 11/64 | #21 | 0.1590 |
| 1/4-20 | UNC | 20 | 13/64 | #7 | 0.2010 |
| 1/4-28 | UNF | 28 | 7/32 | #3 | 0.2130 |
| 5/16-18 | UNC | 18 | 17/64 | F | 0.2570 |
| 5/16-24 | UNF | 24 | 9/32 | I | 0.2720 |
| 3/8-16 | UNC | 16 | 5/16 | Q | 0.3320 |
